successful_run_index,calc_total_setup_ms
1,866.952
2,850.055
3,490.516
4,593.835
5,1377.606
6,441.183
7,612.421
8,642.119
9,1342.284
10,444.353
11,1158.896
12,722.278
13,826.265
14,1261.576
15,419.176
16,512.509
17,797.400
18,443.683
19,681.585
20,450.627
21,1065.546
22,576.756
23,595.972
24,827.017
25,788.635
26,1023.423
27,366.826
28,1328.816
29,887.027
30,425.412
31,642.611
32,971.947
33,517.160
34,677.428
35,569.334
36,670.917
37,510.026
38,597.816
39,1663.664
40,691.313
41,409.472
42,521.075
43,792.427
44,713.057
45,724.635
46,490.744
47,721.667
48,956.803
49,551.977
50,694.571
51,716.652
52,862.271
53,860.374
54,1947.273
55,604.471
56,658.676
57,503.739
58,1469.869
59,545.238
60,662.585
61,649.216
62,1023.785
63,1219.068
64,1186.307
65,2187.824
66,512.023
67,570.971
68,1037.819
69,544.786
70,519.391
71,531.785
72,840.822
73,531.099
74,823.445
75,623.084
76,872.269
77,859.908
78,551.270
79,533.194
80,1720.693
81,639.263
82,510.900
83,1801.732
84,700.007
85,527.449
86,708.046
87,495.798
88,568.007
89,590.473
90,512.497
91,807.239
92,784.301
93,751.387
94,486.953
95,690.584
96,715.804
97,1124.655
98,641.738
99,418.055
100,576.648
