"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","oran.local","10.9.70.137","UDP","138","32909  >  62201 Len=96"
"2","0.000104","10.9.70.137","oran.local","ICMP","166","Destination unreachable (Port unreachable)"
"3","0.002649","oran.local","10.9.70.137","TCP","74","59188  >  9999 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2620112534 TSecr=0 WS=128"
"4","0.002713","10.9.70.137","oran.local","TCP","74","9999  >  59188 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2245827152 TSecr=2620112534 WS=128"
"5","0.002740","oran.local","10.9.70.137","TCP","66","59188  >  9999 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2620112534 TSecr=2245827152"
"6","0.002918","oran.local","10.9.70.137","TCP","583","59188  >  9999 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=517 TSval=2620112534 TSecr=2245827152 [TCP segment of a reassembled PDU]"
"7","0.002974","10.9.70.137","oran.local","TCP","66","9999  >  59188 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2245827152 TSecr=2620112534"
"8","0.003990","10.9.70.137","oran.local","TCP","3298","9999  >  59188 [PSH, ACK] Seq=1 Ack=518 Win=64768 Len=3232 TSval=2245827153 TSecr=2620112534 [TCP segment of a reassembled PDU]"
"9","0.004002","oran.local","10.9.70.137","TCP","66","59188  >  9999 [ACK] Seq=518 Ack=3233 Win=68480 Len=0 TSval=2620112535 TSecr=2245827153"
"10","0.006413","oran.local","10.9.70.137","TCP","2978","59188  >  9999 [PSH, ACK] Seq=518 Ack=3233 Win=68480 Len=2912 TSval=2620112538 TSecr=2245827153 [TCP segment of a reassembled PDU]"
"11","0.006472","10.9.70.137","oran.local","TCP","66","9999  >  59188 [ACK] Seq=3233 Ack=3430 Win=70016 Len=0 TSval=2245827156 TSecr=2620112538"
"12","0.006480","oran.local","10.9.70.137","TCP","137","59188  >  9999 [PSH, ACK] Seq=3430 Ack=3233 Win=68480 Len=71 TSval=2620112538 TSecr=2245827156 [TCP segment of a reassembled PDU]"
"13","0.008052","10.9.70.137","oran.local","TCP","1393","9999  >  59188 [PSH, ACK] Seq=3233 Ack=3501 Win=70016 Len=1327 TSval=2245827157 TSecr=2620112538 [TCP segment of a reassembled PDU]"
"14","0.048414","oran.local","10.9.70.137","TCP","66","59188  >  9999 [ACK] Seq=3501 Ack=4560 Win=70144 Len=0 TSval=2620112580 TSecr=2245827157"
"15","0.048532","10.9.70.137","oran.local","TCP","1393","9999  >  59188 [PSH, ACK] Seq=4560 Ack=3501 Win=70016 Len=1327 TSval=2245827198 TSecr=2620112580 [TCP segment of a reassembled PDU]"
"16","0.048553","oran.local","10.9.70.137","TCP","66","59188  >  9999 [ACK] Seq=3501 Ack=5887 Win=70144 Len=0 TSval=2620112580 TSecr=2245827198"
"17","0.609686","10.9.70.137","oran.local","TCP","5052","9999  >  59188 [PSH, ACK] Seq=5887 Ack=3501 Win=70016 Len=4986 TSval=2245827759 TSecr=2620112580 [TCP segment of a reassembled PDU]"
"18","0.609729","oran.local","10.9.70.137","TCP","66","59188  >  9999 [ACK] Seq=3501 Ack=10873 Win=80128 Len=0 TSval=2620113141 TSecr=2245827759"
"19","0.609789","10.9.70.137","oran.local","TCP","90","9999  >  59188 [PSH, ACK] Seq=10873 Ack=3501 Win=70016 Len=24 TSval=2245827759 TSecr=2620113141 [TCP segment of a reassembled PDU]"
"20","0.609794","oran.local","10.9.70.137","TCP","66","59188  >  9999 [ACK] Seq=3501 Ack=10897 Win=80128 Len=0 TSval=2620113141 TSecr=2245827759"
"21","0.609828","oran.local","10.9.70.137","TCP","90","59188  >  9999 [PSH, ACK] Seq=3501 Ack=10897 Win=80128 Len=24 TSval=2620113141 TSecr=2245827759 [TCP segment of a reassembled PDU]"
"22","0.650145","10.9.70.137","oran.local","TCP","66","9999  >  59188 [ACK] Seq=10897 Ack=3525 Win=70016 Len=0 TSval=2245827800 TSecr=2620113141"
"23","0.862498","oran.local","10.9.65.55","UDP","138","42505  >  62201 Len=96"
"24","0.862677","10.9.65.55","oran.local","ICMP","166","Destination unreachable (Port unreachable)"
"25","0.871707","oran.local","10.9.65.55","ISAKMP","624","IKE_SA_INIT MID=00 Initiator Request"
"26","0.875674","10.9.65.55","oran.local","ISAKMP","649","IKE_SA_INIT MID=00 Responder Response"
"27","0.892057","oran.local","10.9.65.55","ISAKMP","590","IKE_AUTH MID=01 Initiator Request (fragment 1/5)"
"28","0.892068","oran.local","10.9.65.55","ISAKMP","590","IKE_AUTH MID=01 Initiator Request (fragment 2/5)"
"29","0.892071","oran.local","10.9.65.55","ISAKMP","590","IKE_AUTH MID=01 Initiator Request (fragment 3/5)"
"30","0.892076","oran.local","10.9.65.55","ISAKMP","590","IKE_AUTH MID=01 Initiator Request (fragment 4/5)"
"31","0.892079","oran.local","10.9.65.55","ISAKMP","350","IKE_AUTH MID=01 Initiator Request (fragment 5/5)"
"32","0.926708","10.9.65.55","oran.local","ISAKMP","590","IKE_AUTH MID=01 Responder Response (fragment 1/5)"
"33","0.926709","10.9.65.55","oran.local","ISAKMP","590","IKE_AUTH MID=01 Responder Response (fragment 2/5)"
"34","0.926709","10.9.65.55","oran.local","ISAKMP","590","IKE_AUTH MID=01 Responder Response (fragment 3/5)"
"35","0.926709","10.9.65.55","oran.local","ISAKMP","590","IKE_AUTH MID=01 Responder Response (fragment 4/5)"
"36","0.926709","10.9.65.55","oran.local","ISAKMP","318","IKE_AUTH MID=01 Responder Response (fragment 5/5)"
"37","-1749362943.325010","oran.local","10.9.65.55","ESP","170","ESP (SPI=0x0b35b167)"
"38","-1749362943.325010","10.9.65.55","oran.local","ESP","394","ESP (SPI=0x98df2560)"
"39","-1749362943.324944","10.9.65.55","oran.local","SCTP","306","INIT_ACK "
"40","-1749362943.324850","oran.local","10.9.65.55","ESP","362","ESP (SPI=0x0b35b167)"
"41","-1749362943.324850","10.9.65.55","oran.local","ESP","138","ESP (SPI=0x98df2560)"
"42","-1749362943.324707","10.9.65.55","oran.local","SCTP","50","COOKIE_ACK "
"43","-1749362943.324643","oran.local","10.9.65.55","ESP","362","ESP (SPI=0x0b35b167)"
"44","-1749362943.324643","10.9.65.55","oran.local","ESP","154","ESP (SPI=0x98df2560)"
"45","-1749362943.324352","10.9.65.55","oran.local","SCTP","62","SACK (Ack=2737875883, Arwnd=106279) "
"46","-1749362943.324352","10.9.65.55","oran.local","ESP","218","ESP (SPI=0x98df2560)"
"47","-1749362943.324334","10.9.65.55","oran.local","F1AP","126","F1SetupResponse"
"48","-1749362939.524972","oran.local","10.9.65.55","ESP","154","ESP (SPI=0x0b35b167)"
"49","-1749362939.524801","oran.local","10.9.65.55","ESP","138","ESP (SPI=0x0b35b167)"
"50","-1749362939.524801","10.9.65.55","oran.local","ESP","138","ESP (SPI=0x98df2560)"
"51","-1749362939.524746","10.9.65.55","oran.local","SCTP","50","SHUTDOWN_ACK "
"52","-1749362934.884047","oran.local","10.9.65.55","ESP","138","ESP (SPI=0x0b35b167)"
