"No.","Time","Source","Destination","Protocol","Length","Info"
"77","3.487442855","10.9.70.136","10.9.70.137","UDP","140","44938  >  62201 Len=96"
"78","3.487563290","10.9.70.137","10.9.70.136","ICMP","168","Destination unreachable (Port unreachable)"
"79","3.490304572","10.9.70.136","10.9.70.137","TCP","76","53930  >  9999 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2941372174 TSecr=0 WS=128"
"107","4.528359425","10.9.70.136","10.9.70.137","TCP","76","[TCP Retransmission] [TCP Port numbers reused] 53930  >  9999 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2941373213 TSecr=0 WS=128"
"108","4.528469295","10.9.70.137","10.9.70.136","TCP","76","9999  >  53930 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=699503288 TSecr=2941373213 WS=128"
"109","4.528506738","10.9.70.136","10.9.70.137","TCP","68","53930  >  9999 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2941373213 TSecr=699503288"
"110","4.528755630","10.9.70.136","10.9.70.137","TLSv1.3","585","Client Hello"
"111","4.528819564","10.9.70.137","10.9.70.136","TCP","68","9999  >  53930 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=699503289 TSecr=2941373213"
"112","4.529816033","10.9.70.137","10.9.70.136","TLSv1.3","3300","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"113","4.529828782","10.9.70.136","10.9.70.137","TCP","68","53930  >  9999 [ACK] Seq=518 Ack=3233 Win=68480 Len=0 TSval=2941373214 TSecr=699503290"
"114","4.532283894","10.9.70.136","10.9.70.137","TLSv1.3","2980","Change Cipher Spec, Application Data, Application Data, Application Data"
"115","4.532339003","10.9.70.137","10.9.70.136","TCP","68","9999  >  53930 [ACK] Seq=3233 Ack=3430 Win=70016 Len=0 TSval=699503292 TSecr=2941373216"
"116","4.532345363","10.9.70.136","10.9.70.137","TLSv1.3","139","Application Data"
"117","4.533899200","10.9.70.137","10.9.70.136","TLSv1.3","1395","Application Data"
"120","4.574347261","10.9.70.136","10.9.70.137","TCP","68","53930  >  9999 [ACK] Seq=3501 Ack=4560 Win=70144 Len=0 TSval=2941373259 TSecr=699503294"
"121","4.574425089","10.9.70.137","10.9.70.136","TLSv1.3","1395","Application Data"
"122","4.574437638","10.9.70.136","10.9.70.137","TCP","68","53930  >  9999 [ACK] Seq=3501 Ack=5887 Win=70528 Len=0 TSval=2941373259 TSecr=699503334"
"137","5.057758234","10.9.70.137","10.9.70.136","TLSv1.3","5054","Application Data"
"138","5.057777617","10.9.70.136","10.9.70.137","TCP","68","53930  >  9999 [ACK] Seq=3501 Ack=10873 Win=80512 Len=0 TSval=2941373742 TSecr=699503817"
"139","5.057849846","10.9.70.136","10.9.70.137","TLSv1.3","92","Application Data"
"140","5.057879243","10.9.70.137","10.9.70.136","TLSv1.3","92","Application Data"
"141","5.098855782","10.9.70.137","10.9.70.136","TCP","68","9999  >  53930 [ACK] Seq=10897 Ack=3525 Win=70016 Len=0 TSval=699503859 TSecr=2941373742"
"142","5.099351660","10.9.70.136","10.9.70.137","TCP","68","53930  >  9999 [ACK] Seq=3525 Ack=10897 Win=80512 Len=0 TSval=2941373784 TSecr=699503818"
